"mgm4552597.3" "mgm4552598.3" "mgm4552599.3" "mgm4552600.3" "mgm4552601.3" "mgm4552602.3" "mgm4552603.3" "mgm4552604.3" "mgm4552605.3" "mgm4552606.3" "mgm4552607.3" "mgm4552608.3" "mgm4552609.3" "mgm4552610.3" "mgm4552611.3" "mgm4552612.3" "mgm4552613.3" "mgm4552614.3" "mgm4552615.3" "mgm4552616.3" "mgm4552617.3" "mgm4552618.3" "mgm4552619.3" "mgm4552620.3" "mgm4552621.3" "mgm4552622.3" "mgm4552623.3" "mgm4552624.3" "mgm4552625.3" "mgm4552626.3" "mgm4552627.3" "mgm4552628.3" "mgm4552629.3" "mgm4552630.3" "mgm4552631.3" "mgm4552632.3" "mgm4552633.3" "mgm4552634.3" "mgm4552635.3" "mgm4552636.3"
"RNA processing and modification" 55170 53222 141114 148113 74071 63855 83016 46797 123 125231 140566 56527 118783 105542 58813 51678 124481 68264 92735 60561 63342 107280 94339 105813 139392 114181 100071 216760 103774 230253 196629 211077 137274 202677 79767 89047 84923 61716 70774 89018
"Alanine, serine, and glycine" 27394 26057 67021 71370 35578 31037 39723 22821 98 60913 69204 28685 56555 52071 29003 26095 62623 33883 46171 29895 48556 84493 73546 83375 109422 88214 77563 167578 80629 183087 152281 155418 99749 161127 62099 66385 64074 45901 53201 65652
"Folate and pterines" 94723 88713 223742 242738 122872 105270 135039 77874 252 207673 234110 93921 192213 178060 97548 89125 213611 115756 157537 102827 23485 39839 35205 39442 51035 41466 35886 79592 37938 84319 71900 74581 48470 74914 29275 31978 30744 22408 25819 32523
"Capsular and extracellular polysacchrides" 28142 25654 68186 67399 36463 29834 40220 21628 79 61045 69092 28635 59524 52720 30272 25670 63894 34778 47639 30120 79601 133759 118505 133848 173696 141358 123295 272209 131634 288881 244746 261046 167555 254341 98514 108889 105808 76074 87415 112261
"Plant Hormones" 6863 6485 15788 17135 8474 7613 9704 5680 28 14931 16402 6808 13616 12585 6620 6278 15927 8285 11095 7451 10222 19134 15299 17774 24753 19732 17291 36685 16892 41523 32440 38242 22322 33154 13073 14608 13835 10097 11543 13736
"Oxidative stress" 27698 26459 68045 72224 36071 32559 40684 23963 76 62439 69493 27999 56968 52822 28189 26976 63032 33986 45426 30277 24009 39859 34261 40132 53633 43434 39205 81029 39568 89904 74080 81942 52371 79104 30924 33038 31140 23387 27552 33220
"Electron accepting reactions" 20539 19734 52044 55655 27764 25789 30707 17948 59 46474 55576 22341 41014 39330 21569 21149 48591 25994 34495 23000 17469 30578 25486 29136 39983 32694 27474 61029 28922 65125 55582 65061 39203 52850 21539 25889 24402 17088 19681 24838
"Transcription" 34373 32133 80891 86172 45148 37977 48615 28396 115 74011 85533 35141 69738 63717 35239 33363 77914 43266 57211 38406 26174 42083 37579 42271 56005 45420 40837 86566 41841 92407 79369 87423 57089 81816 32965 35925 34001 25121 28545 37177
"Protein processing and modification" 31744 29248 72148 77182 40050 34554 43527 25466 62 67583 76046 31383 61964 57881 31785 30086 71667 38808 52303 34475 107492 174996 154048 176048 229490 186903 165861 359463 171561 377842 326382 360527 233696 325681 132371 150589 143671 103620 117647 152846
"Central carbohydrate metabolism" 129858 119990 296454 318271 163673 141907 179859 105359 387 275385 316301 129247 249789 237380 130494 124150 296292 159612 211909 142811 1148 2097 1898 2089 2594 2169 1733 4385 1947 4650 3932 4119 2379 3713 1407 1645 1576 1140 1281 1597
"Putative asociate of RNA polymerase sigma-54 factor rpoN" 5634 5876 14694 15684 7489 7157 8640 5169 27 13523 13817 6026 10925 10993 5877 5469 13467 7159 8998 6354 42512 72257 63462 72406 93702 75322 66540 145717 69471 155196 131383 131958 84650 137106 52947 59426 56138 40165 46379 59095
"Ribosomal Protein L28P relates to a set of uncharacterized proteins" 2857 2920 7341 8736 4150 3670 4434 2615 3 6755 7767 3158 5931 5752 2929 3057 6586 3779 4860 3448 2561 4517 3904 4364 5383 4265 3914 8800 4198 9215 7712 7812 4862 7962 2920 3550 3347 2333 2776 3531
"Regulation of virulence" 5644 5763 13939 16052 7777 6918 8760 5085 13 13136 15086 6131 12072 10985 6174 5603 12914 7365 9751 6489 7783 13548 11270 12532 16700 13822 12296 26230 12953 28157 24501 28916 17204 24750 9326 11135 10572 7593 8793 11086
"Cell wall of Mycobacteria" 9517 9195 23375 24852 12141 11154 14202 8156 18 21173 23215 9850 18569 17950 9658 9196 22269 12056 15749 10493 35555 62140 52465 58835 78731 64922 55934 123947 58819 129288 112652 129108 78567 114646 43836 49560 48168 34561 39484 50132
"Fatty acids" 42996 41487 105682 114072 56133 51390 64433 37527 119 96173 108007 44580 87355 82941 44520 41825 99339 53637 71485 46570 3536 5758 5387 6070 8327 6614 5684 12272 5713 13232 11283 12156 7682 12099 4683 4599 4644 3436 3797 4823
"Translation" 4007 3721 10307 9959 5277 4490 6054 3282 15 8891 10010 4097 9395 7774 4631 3604 9568 4836 6789 4379 23493 40170 34867 39387 51575 41663 36533 79971 38250 85481 72560 85749 51027 74770 28483 33037 31578 22658 25780 33254
"Pyrimidines" 30449 28039 69640 75294 38409 32171 42820 24148 61 65335 72172 29330 61866 55787 31192 27583 67084 36854 50290 32716 25429 42010 37145 42595 54709 44422 38460 83173 41627 91052 76982 82831 52107 81157 31802 34039 33132 23782 27383 35664
"Protein secretion system, Type II" 6630 5908 16820 16585 8798 7669 9828 5536 11 14865 17462 7082 14094 12600 7226 6325 15435 8421 11621 6914 22474 39769 32067 35866 47954 39874 33706 77493 36195 79593 70010 84520 49862 68897 26864 30926 30489 21701 24035 31051
"Protein translocation across cytoplasmic membrane" 11129 10061 26098 27833 14297 12158 15831 9090 19 23826 27211 11223 22634 20271 11021 10450 24847 13814 18185 12290 5541 9331 8029 9520 13190 10518 9133 19466 9097 21570 17878 22202 12810 18953 7503 8398 7886 5429 6521 7606
"Cytochrome biogenesis" 10189 9370 23030 26139 12924 11758 14211 8366 29 21800 25291 10418 19147 18651 9982 10090 22728 12805 16913 11320 9404 15485 14005 15826 20724 16409 14574 31502 15083 34194 28497 30318 19352 29397 11577 13118 12498 8920 10501 12947
"Tetrapyrroles" 14455 14892 38264 40845 19450 19034 23313 13454 46 33611 36916 16086 28752 28156 14989 14576 33414 17813 23908 16083 8878 14751 12971 14776 19111 15307 13543 30035 14328 31443 27036 28740 18117 27554 10713 12413 12005 8326 9267 12147
"Resistance to antibiotics and toxic compounds" 43753 40642 114118 105933 58411 48958 65510 35337 103 98296 111291 45435 97522 85353 49775 41127 106643 55572 74719 48208 44584 76330 66488 74558 96552 78992 69980 152718 72411 162454 138142 140858 88236 144239 55593 61348 59105 42480 48274 62026
"One-carbon Metabolism" 66627 60471 152001 164571 83802 72813 90452 53246 171 141912 159451 65386 129121 120690 66976 63030 149660 82047 109054 72690 8170 13656 12551 13920 17437 14357 12686 28517 13311 28829 25176 26575 17267 24989 10109 11925 11523 7998 9073 12032
"Three hypotheticals linked to lipoprotein biosynthesis" 915 877 2423 2750 1239 1059 1362 800 4 2149 2443 852 1813 1748 893 906 1965 1015 1436 1014 12071 22721 18384 20265 26763 21961 18750 43155 21998 45951 39108 43462 24842 37893 14936 17664 16656 11604 13475 16913
"Uni- Sym- and Antiporters" 1966 1807 4247 5535 2444 1819 2791 1418 8 4731 5231 1568 4294 3681 2067 1628 4065 2220 3125 2230 37966 63131 55932 65397 89290 72971 64536 131617 62577 146014 120033 160782 92674 126452 50750 54288 50771 38691 43885 53964
"NAD and NADP" 10179 9830 26135 28040 13582 11886 15467 8885 26 23212 25817 10473 21234 19610 10470 9393 23089 12721 17106 11245 10151 15549 14037 15991 19487 16152 14780 33471 16431 35369 28342 41080 26765 32151 12781 13892 13396 10413 11321 14993
"Fermentation" 34482 32520 80311 86446 43103 39811 48611 28662 95 74272 83391 34809 63348 63516 33829 33426 79469 41939 55083 37539 769 1476 1242 1360 1693 1399 1075 3000 1293 2916 2492 2702 1653 2476 944 1064 1063 707 845 1036
"Aminosugars" 4149 4402 12040 11334 5970 5654 7383 3934 42 9907 11747 4809 9433 8341 4896 3958 10147 5452 7236 4849 1636 2940 2896 3342 3387 3106 2194 6279 2696 5966 5394 3160 2477 5915 2034 1770 2199 1542 1780 3282
"Quinone cofactors" 8670 8169 21719 23480 11730 10359 13033 7527 28 20052 21837 9118 17609 16502 9068 8422 19846 10905 14407 9496 9103 15516 13460 15174 19641 15655 13977 30859 15308 32655 27778 27720 17443 27529 10767 11760 11899 8360 9460 12449
"Anaerobic degradation of aromatic compounds" 8839 8512 21372 23239 11531 10414 12658 7405 20 19434 21945 9170 17355 16739 8965 8740 20696 10704 14390 9727 3934 6703 5849 6375 8658 7013 6173 13671 6299 14031 12313 11126 7028 12457 4881 5020 5197 3640 4031 5291
"Protein degradation" 36050 33386 84499 87408 45941 39349 49658 29113 89 78522 89997 35972 74078 67145 38243 33498 83030 43960 59857 39388 7422 13235 11045 12041 15843 13077 11636 25802 12699 27387 22571 25521 16027 23909 9005 10509 9785 6848 8214 10036
"Phospholipids" 17569 16968 40757 44740 21844 19878 25543 14446 28 38511 41346 17181 33171 32315 16892 16729 38710 21592 28306 19310 7411 13091 10804 12405 16085 13196 11809 25615 11766 26265 23177 27526 16704 23208 9012 10387 10207 7189 8308 10437
"Electron transport and photophosphorylation" 54 85 141 193 92 153 191 75 1 163 176 178 109 114 36 98 123 61 192 61 28738 47424 42428 48792 63661 50446 45828 96345 46041 104060 86682 96917 61423 90259 36240 41627 39139 28000 32625 41004
"Sodium Ion-Coupled Energetics" 329 292 650 577 283 322 375 188 2 579 662 333 568 470 293 321 727 365 461 325 30289 49655 44559 50260 66261 53701 48370 102474 50733 110693 92691 101596 64658 97032 38980 42976 40717 29366 34304 42829
"Detoxification" 5279 5287 12911 14292 6902 5972 7946 4568 6 12063 13563 5249 11090 10322 5393 5145 11901 6649 8913 6015 53 91 76 110 348 254 147 166 1028 370 530 33 29 242 47 104 93 51 175 46
"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation" 28310 25438 64158 67501 34590 29518 38251 21533 65 60983 66396 27425 57106 51470 28850 25979 63230 34945 46490 30039 19589 30535 27616 31837 42616 34872 31557 64709 32250 70444 58872 67225 42776 62213 25281 27530 25526 19819 22119 27633
"Fatty acid metabolic cluster" 20362 20097 51546 56314 28019 24740 31549 18010 59 46684 52292 21626 41852 39503 21486 19994 47313 25860 33840 22708 226 342 240 322 524 388 396 645 376 801 753 644 557 690 300 295 312 207 218 388
"Isoprenoids" 18678 18455 47453 52174 25485 23560 28371 16737 40 42285 48371 19464 37787 35693 18899 18629 43065 23493 30489 20761 4531 8075 6949 7796 10006 8138 7116 15913 7373 16466 14231 14615 9337 14951 5483 6016 5923 4391 5076 6191
"Monosaccharides" 38664 39321 102602 97286 50594 44859 62748 32694 145 86629 95861 40344 83171 74718 41837 35669 87183 48713 63993 39822 2358 3829 3750 3816 4628 3873 3255 8198 3973 7828 6741 7808 4747 7382 2660 3213 3210 2084 2398 3452
"Purines" 37016 34564 86744 97422 47977 41498 52874 30870 110 80807 90994 36826 74348 68724 36884 34628 82832 45647 61225 40223 27446 44801 40539 45734 59121 48590 41387 92768 45554 97949 84153 92498 58701 89378 34365 36635 36031 25867 29833 38780
"Organic acids" 29186 26987 67470 71255 35827 31415 39657 23753 85 61914 70243 28235 56969 53406 29022 27401 65255 35590 47476 31104 22874 37267 33722 38232 50901 40763 36173 77852 38347 84724 69997 78575 51272 75368 29638 31687 31016 22317 25838 32962
"Branched-chain amino acids" 62230 58312 143747 161833 79440 71879 88260 52267 198 135763 155191 62048 122284 116382 62026 59853 139956 76130 102337 67679 17562 30658 26337 29107 37904 31492 27342 61261 29063 63741 54964 60297 36267 56132 21559 24356 23270 16713 19291 24402
"Inorganic sulfur assimilation" 11972 11233 26524 30337 15184 12985 16889 9883 36 25721 28670 11679 24014 22203 11720 11572 27406 14879 20032 13398 34652 58168 49466 55676 74767 60770 55090 115553 54890 125166 107019 100579 66346 107672 42711 45197 44408 32420 34935 45017
"Heat shock" 15720 14667 37246 39626 20404 17334 22128 12926 25 34686 39419 16078 33093 29393 16596 14840 35686 19357 25986 17442 2102 3561 3073 3445 4936 3653 3224 7222 3344 7795 6506 6764 4307 6534 2508 2996 2761 2071 2400 2962
"Aromatic amino acids and derivatives" 24974 23820 60553 65921 32342 29283 36268 21735 57 54968 62509 25756 50483 46912 25228 24109 57480 30403 41094 27565 24570 39708 34526 39332 51681 42225 37153 80359 38880 85361 72964 82098 51808 75290 29919 33052 31952 23522 26618 33773
"Di- and oligosaccharides" 32769 33371 84900 85206 43835 40254 50244 28760 85 73115 83710 36087 64525 62821 34376 33376 77571 41921 54722 36150 16048 28364 23854 26755 35132 28510 24738 55184 26561 57535 49921 54415 32849 50195 19449 22518 21623 15299 17523 22018
"Flagellar motility in Prokaryota" 11359 11737 32767 31399 16400 14505 19393 10491 32 26580 32857 13546 26073 23483 12862 11647 26085 14105 19879 12470 28273 48234 40388 45017 59750 49096 44405 95024 46407 100488 86899 94253 58293 82215 33599 40706 38049 26282 29736 39385
"Flagella protein?" 417 365 1189 1011 582 505 703 375 0 943 1227 468 1082 891 516 351 1003 491 641 399 2662 4508 3943 4313 5752 4508 3788 8915 4324 9233 7854 7335 5399 8192 3203 3278 3159 2532 2833 3560
"Phages, Prophages" 19612 18538 45630 51185 24834 22463 26583 16659 51 42225 47661 19269 35319 35158 18219 20109 44504 24246 31065 22263 15390 24141 21813 23773 30586 25961 21927 51209 24943 52968 46108 55696 36087 47511 18896 20585 20212 15064 16822 22539
"Metabolism of central aromatic intermediates" 15497 14896 39910 39276 19677 18172 23223 13344 35 35342 38535 15321 32524 29861 16007 14591 36467 19227 25691 16610 31536 52744 45681 51724 67067 54089 47977 106369 50992 110466 94739 99855 62728 96944 38052 42705 41710 29141 33950 43849
"Biotin" 15930 15779 38620 43929 20789 19897 24160 14259 51 36280 39742 16482 31144 30648 15797 15750 36557 19818 26684 17096 13406 21971 19790 22604 30133 24216 21533 45707 22097 49178 41170 43752 27751 43351 16932 18952 18121 13084 15002 18310
"Plant Alkaloids" 467 402 1282 980 564 342 706 308 1 974 939 444 1279 760 538 387 1023 608 743 548 4725 8279 6888 7400 9545 8012 7333 16286 7535 16819 13650 16585 9883 13735 5789 6869 6401 4590 4965 6549
"Acid stress" 1823 1610 4222 4001 2148 1815 2333 1338 11 3967 4035 1712 3818 3344 1936 1737 4275 2299 3019 1982 20680 35935 31247 34220 45841 37199 31837 72833 34033 75594 64560 70742 44794 66550 25503 29443 28402 19928 22849 29226
"Two related proteases" 4019 3508 8375 9302 4991 4240 5172 2976 6 8064 9557 3985 7233 7101 3823 3966 8654 4698 6577 4273 334 739 504 640 942 761 599 1301 604 1683 1134 1616 888 1252 451 527 467 387 383 523
"Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase" 3007 2805 7087 7822 3817 3141 4202 2527 8 6537 7445 2961 6216 5490 2955 2857 6580 3585 4905 3175 28360 47339 39622 45391 58955 48985 42775 94638 44742 98001 85999 102391 63692 83333 34007 39714 37638 27529 30740 39499
"tRNA sulfuration" 1276 1363 3746 4088 2009 1842 2205 1182 2 3424 3711 1399 2762 2578 1414 1386 3059 1545 2211 1503 5306 6890 7035 8061 8275 6744 6956 15604 8276 15638 12672 19192 15026 15522 6246 7065 6895 5743 5811 8459
"Sugar Phosphotransferase Systems, PTS" 751 834 2236 2261 1117 1004 1384 677 0 1965 1881 910 1786 1501 831 778 1704 903 1164 782 6156 7806 8150 9581 9597 7832 8228 17965 9630 18043 14776 22386 18183 18433 7669 8322 8031 6959 6782 10276
"Protein and nucleoprotein secretion system, Type IV" 3666 3595 9427 10505 5329 4775 5405 3341 9 8294 9739 3844 7878 7105 3981 3637 8741 4632 6234 4333 1087 2144 1720 2101 2906 2225 1999 4017 2096 4764 3785 4401 2793 4236 1668 1536 1559 1148 1390 1650
"Gram-Negative cell wall components" 14952 13777 42158 37338 20576 16487 23182 12495 59 34279 40900 16328 35487 29989 17582 13660 35666 18056 26452 16171 4772 8517 7116 8202 10466 8448 7330 15953 7990 17503 14288 15501 9841 15121 5764 6497 6231 4390 5135 6151
"Riboflavin, FMN, FAD" 4044 4130 9769 11483 5358 4856 5988 3451 18 9420 9983 4099 8047 7863 4090 4170 9019 5211 6856 4482 13145 23345 19400 21280 28248 23437 19943 45634 21639 46181 41243 45951 28599 40894 15621 18108 17918 12680 14094 18470
"Pyridoxine" 10332 9827 24812 27632 13399 11749 15095 9062 35 22883 26683 10592 20854 19785 10267 9771 23497 12915 17124 11339 464 752 610 838 1255 1121 926 1474 787 1864 1605 1646 1035 1801 668 714 668 517 545 618
"Pyruvate kinase associated cluster" 1872 1861 4563 4781 2385 2261 2855 1648 3 4115 4739 1873 3905 3609 2007 1791 4281 2333 3036 2023 3151 4798 4503 5229 6566 5260 5037 10216 4965 10791 9064 10006 6476 9254 3802 4531 4328 2982 3612 4485
"Protein export?" 7607 6601 17199 18352 9705 8186 10458 5985 9 15921 18427 7346 15301 13576 7608 7051 16717 9445 12359 8352 14515 24792 21136 23518 30049 24856 21476 48862 22949 49421 44176 47429 29426 44420 16967 19207 19224 13522 15513 20068
"Coenzyme A" 5868 5376 14508 15729 7822 7110 8505 5058 21 13271 15183 6037 11944 11071 6096 5670 13595 7114 9577 6341 2449 4281 3834 4473 5485 4485 3912 8641 4062 9366 7575 8189 5007 8149 3198 3429 3426 2322 2613 3401
"Protein folding" 23794 21171 53056 53671 28716 23702 31876 18416 50 50279 56929 23204 48231 43143 24809 21383 55225 28864 39156 25510 771 1385 1066 1135 1558 1326 1132 2576 1195 2730 2363 2150 1346 2368 946 876 950 633 784 887
"Clustering-based subsystems" 11654 11201 27580 30843 15002 13758 17091 9856 29 25556 28976 12028 23532 21888 11700 11365 26675 14380 18890 12709 3117 5686 5245 5933 7622 6004 5446 12040 5464 12308 10576 12898 6729 10564 4126 4777 4571 3098 3624 4471
"Proline and 4-hydroxyproline" 8963 8601 21377 24427 11552 10159 12985 7343 18 20001 22548 8890 17682 16630 9043 8469 19664 11027 14485 10003 13507 23961 20419 23930 34220 27141 23579 49134 22778 56413 44866 52004 32690 48279 19035 19136 18048 13525 16142 18166
"Protein secretion system, Type VI" 7682 7087 18608 17117 9752 8005 10849 6173 17 17110 19645 7792 16546 14789 8644 7035 18663 9439 13319 8175 1678 2797 2320 2542 3443 2804 2443 5603 2586 5833 4912 5391 3258 4994 1970 2179 2217 1534 1616 2125
"Histidine Metabolism" 11022 11019 26626 30423 14665 12768 16413 9700 36 24576 27026 11360 22129 20899 11036 10561 24355 13408 17599 11836 15940 27173 24203 27240 32961 26548 24873 55454 25855 54055 47939 59564 35108 46018 18896 23816 22810 15498 17663 23468
"Probably GTP or GMP signaling related" 4594 4766 11606 13552 6376 5872 7131 4394 15 10694 12437 4920 9652 8994 4839 4593 10393 6071 7793 5255 5049 8810 7235 8470 11023 9037 8061 17438 8402 18370 15864 15203 9793 16066 6108 6847 6791 4726 5312 6768
"Adhesion" 772 752 2282 2216 1026 1119 1176 708 1 1880 2095 852 1728 1490 856 728 1800 978 1345 782 6349 9984 9263 10449 13972 11019 9776 21124 10075 22606 19118 20080 13303 19846 7862 9085 8571 6011 6999 8654
"Carbohydrates" 3405 2983 7492 7689 4172 3388 4405 2522 9 7068 7527 3117 6469 5997 3446 3184 7803 4161 5648 3670 5365 9159 8345 9269 12268 9777 8810 18799 9230 19714 16876 20559 12240 18346 7039 8018 7473 5533 6335 8008
"Coenzyme F420" 1858 1829 3625 5246 2256 2355 2374 1785 1 3746 4034 1797 2574 3127 1332 1915 3990 2104 2747 2201 2756 4552 4012 4754 5778 4548 4292 9241 4349 10002 8429 8579 5468 8761 3455 3691 3568 2504 3022 3756
"Peripheral pathways for catabolism of aromatic compounds" 26731 26591 66406 72608 34311 33448 40815 24192 71 61238 66495 27574 53371 52494 26828 26463 63019 33743 44942 29139 9750 16411 14374 16038 20540 16921 15115 33696 15807 34799 30019 31795 19947 30338 12103 13821 13095 9391 10323 13674
"ABC transporters" 19169 16590 40306 44154 22440 20012 25567 14442 57 40290 45243 18136 38265 34941 20341 17760 44866 23567 31687 21286 1524 2717 2473 2771 3432 2773 2362 5596 2631 5779 4899 4815 3053 5058 1989 2114 2145 1504 1566 2166
"Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE" 5498 5128 13686 15029 7263 6726 8182 4766 18 12313 14663 5574 11419 10246 5611 5399 12385 7104 9191 6130 9209 16649 14502 15457 19420 16146 14061 32384 15038 33318 29020 28764 18322 29575 11083 12604 12384 8851 10051 12666
"DNA recombination" 3256 3052 7581 8412 4286 3456 4827 2603 15 7132 8024 3349 6522 5978 3209 3164 7283 3880 5336 3611 6898 10183 9161 10702 14744 11764 10878 22060 11045 24327 19907 22099 14750 21718 8915 9084 8683 6821 7389 9106
"Putrescine/GABA utilization cluster-temporal,to add to SSs" 3165 2806 6407 7856 3564 3305 3956 2525 4 6464 7037 2693 5914 5333 2625 2943 6661 3629 4933 3412 3949 7209 6007 6723 8751 7335 6188 13829 6730 14922 12672 13041 7871 12435 4837 5794 5616 3764 4205 5630
"Biosynthesis of galactoglycans and related lipopolysacharides" 8924 8742 24331 23363 11854 11292 13691 8087 22 20200 23095 10105 18213 17339 9507 8685 21037 11211 14802 9915 631 1234 1050 1093 1595 1326 1138 2348 1153 2722 2291 2734 1481 2187 880 1035 929 704 781 966
"Detection" 9708 9617 23101 25697 12331 11400 14328 8213 18 21394 23424 9653 18888 18349 9631 9463 22259 12075 15959 10669 2925 4434 3989 4601 5794 4809 4230 9210 4420 9546 8564 10440 6311 8760 3642 3842 3703 2822 3089 4283
"ATP synthases" 8238 6908 17363 19088 9764 8215 10736 6217 34 16244 18986 7921 15594 14409 7853 7331 17848 9838 13149 8855 1169 2105 1795 1903 2037 1836 1593 4127 2056 3675 3515 4237 2470 2955 1268 1977 1859 1108 1271 2017
"Gram-Positive cell wall components" 2784 2633 7326 7203 3840 3286 4167 2352 12 6475 7329 3039 6398 5505 3279 2780 6707 3639 4973 3166 3514 6044 4809 5577 6869 5727 5114 11730 5690 12356 10690 10986 6919 10463 4069 4784 4571 3040 3554 4769
"D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster" 1092 1082 2311 2719 1241 1056 1463 907 2 2283 2473 1024 2016 1945 893 971 2290 1202 1637 1179 8275 14058 11880 13584 17058 13972 12364 27486 12904 28046 25130 25822 17209 25413 9735 10893 10903 7747 8797 11516
"Methylamine utilization" 11978 10398 24804 27824 13878 12287 15082 9061 32 24666 26619 11189 21863 20618 11042 11111 26163 14930 19219 12651 6539 10374 9549 10851 14972 11660 10674 21974 10320 23539 19986 21236 13696 20421 8217 9033 8663 6186 7226 9582
"Organic sulfur assimilation" 13325 10939 26747 28807 14254 11843 15993 9341 23 27147 27820 10545 24636 23768 12170 11894 30932 16161 20853 14351 2445 4224 3644 4240 5533 4635 4040 8509 4171 9569 7691 8507 5564 8430 3283 3477 3262 2565 3052 3531
"Polysaccharides" 13037 12573 32408 30929 16424 14804 18704 10709 28 28777 31279 14253 25987 23980 13640 12680 31350 16475 22086 14111 8924 14328 13034 14842 18914 15128 14085 30279 14683 31200 26636 31508 19833 27931 10906 13044 12562 8644 10110 13269
"Pathogenicity islands" 10641 9360 21800 24668 12781 10326 13306 8338 27 21686 24916 9895 19756 18566 10290 9891 24429 13053 16914 11362 11226 17978 15302 17411 23970 19486 17709 35713 18498 39704 34009 41574 26065 33912 13868 15621 14456 10949 12263 15347
"Osmotic stress" 9250 7947 19814 20279 10577 9029 11490 6749 35 19347 20763 8156 18473 16035 9358 7553 20736 11001 15013 9640 1694 2456 2165 2681 3591 2752 2424 5180 2680 5710 4493 4958 3839 5307 2148 2032 1942 1541 1767 2275
"Biologically active compounds in metazoan cell defence and differentiation" 7865 5402 11372 13753 7025 5236 6818 4408 4 13792 13013 4839 11815 12345 5880 6533 17434 9280 11113 8253 7664 12837 11514 12729 16070 13123 11545 26580 12414 27220 23191 23468 15020 23622 9417 10500 9971 6947 8201 10299
"Sulfatases and sulfatase modifying factor 1 (and a hypothetical)" 9534 6375 13317 15437 8054 5953 7939 5196 7 16255 14830 5520 14054 14502 7060 7744 20958 11050 13219 9697 13417 23239 19368 21330 29308 24231 20675 46434 21525 48716 41358 55885 31771 42660 16644 18435 17933 13070 14713 17739
